120	1	519
584	1	462
896	1	837
1101	1	244
339	1	712
437	1	10
2	1	187
79	1	244
740	1	368
883	1	580
741	1	753
1051	1	177
515	1	446
112	1	103
168	1	126
738	1	817
326	1	11
352	1	632
55	1	118
699	1	593
165	1	2
892	1	55
1215	1	540
137	1	47
533	1	204
95	1	8
79	1	18
207	1	5
787	1	123
154	1	80
624	1	149
171	1	235
40	1	102
811	1	818
235	1	207
260	1	13
982	1	121
863	1	710
107	1	217
800	1	594
248	1	32
736	1	117
145	1	49
339	1	125
402	1	704
807	1	638
1002	1	122
98	1	296
172	1	79
1034	1	119
667	1	168
802	1	108
28	1	167
790	1	218
908	1	122
673	1	88
956	1	852
260	1	110
250	1	46
539	1	611
165	1	118
108	1	112
101	1	90
283	1	487
128	1	136
832	1	825
422	1	10
783	1	15
772	1	122
486	1	368
267	1	106
89	1	90
125	1	83
117	1	539
141	1	47
171	1	13
877	1	771
17	1	12
57	1	53
1139	1	122
786	1	515
808	1	539
144	1	3
800	1	373
294	1	6
122	1	15
99	1	90
153	1	46
991	1	15
625	1	99
892	1	874
339	1	483
884	1	394
122	1	536
624	1	13
605	1	780
63	1	223
736	1	487
339	1	126
325	1	8
117	1	446
96	1	12
892	1	118
173	1	103
583	1	964
63	1	58
90	1	103
992	1	1035
31	1	32
516	1	177
125	1	348
488	1	43
200	1	412
748	1	678
112	1	69
59	1	143
107	1	49
111	1	49
60	1	283
48	1	534
44	1	13
114	1	462
133	1	98
1180	1	127
338	1	120
90	1	391
742	1	518
977	1	667
681	1	927
1056	1	224
605	1	514
71	1	558
557	1	42
152	1	50
99	1	212
35	1	76
1026	1	736
383	1	109
874	1	163
23	1	106
578	1	243
1103	1	118
760	1	55
605	1	24
339	1	349
818	1	820
666	1	27
1107	1	539
405	1	3
13	1	79
50	1	125
369	1	373
374	1	14
396	1	5
133	1	3
675	1	128
59	1	58
363	1	163
287	1	284
66	1	80
766	1	462
1098	1	163
125	1	95
653	1	224
293	1	5
265	1	33
960	1	302
852	1	515
32	1	30
182	1	59
106	1	172
802	1	436
22	1	212
114	1	423
210	1	186
38	1	23
122	1	118
71	1	121
1109	1	117
736	1	338
1068	1	777
117	1	1103
747	1	302
594	1	736
342	1	35
365	1	5
41	1	32
20	1	199
839	1	765
104	1	12
159	1	151
466	1	30
1060	1	777
537	1	127
896	1	177
863	1	222
13	1	6
1006	1	183
1053	1	445
445	1	741
993	1	400
678	1	368
784	1	302
1035	1	117
270	1	1038
27	1	130
111	1	183
244	1	107
150	1	215
260	1	11
651	1	834
244	1	14
815	1	761
302	1	793
206	1	53
76	1	11
72	1	243
302	1	987
939	1	445
337	1	105
68	1	37
432	1	91
102	1	114
844	1	580
79	1	94
736	1	534
198	1	15
346	1	118
157	1	4
127	1	778
551	1	15
941	1	859
1110	1	5
1199	1	310
258	1	103
35	1	5
718	1	76
928	1	55
14	1	72
785	1	802
267	1	23
624	1	11
105	1	80
105	1	207
1033	1	794
333	1	334
17	1	13
932	1	15
1103	1	15
993	1	127
688	1	755
96	1	27
535	1	551
828	1	55
956	1	177
871	1	667
909	1	436
5	1	80
520	1	416
125	1	394
820	1	400
867	1	55
515	1	126
339	1	791
856	1	445
653	1	3
1103	1	348
942	1	303
123	1	90
1006	1	539
416	1	8
267	1	212
75	1	94
241	1	25
794	1	302
270	1	817
1099	1	178
346	1	24
101	1	153
639	1	165
420	1	8
269	1	143
917	1	183
338	1	485
114	1	97
152	1	3
1158	1	5
233	1	108
250	1	107
1110	1	6
934	1	221
913	1	303
1034	1	611
243	1	106
605	1	222
479	1	103
150	1	81
892	1	177
241	1	101
582	1	302
331	1	80
696	1	76
15	1	368
248	1	685
670	1	221
670	1	792
578	1	36
652	1	772
118	1	123
759	1	403
1070	1	593
159	1	138
1121	1	772
101	1	51
23	1	113
513	1	120
801	1	883
1025	1	763
800	1	369
776	1	183
538	1	846
277	1	107
250	1	165
337	1	437
292	1	109
275	1	42
403	1	183
34	1	6
740	1	115
23	1	76
678	1	651
632	1	168
173	1	112
275	1	3
1058	1	451
287	1	49
63	1	61
229	1	117
424	1	47
1150	1	1149
675	1	8
787	1	117
17	1	45
1038	1	772
71	1	184
436	1	739
370	1	436
8	1	103
962	1	593
40	1	172
539	1	678
118	1	351
578	1	245
660	1	655
99	1	94
807	1	790
787	1	16
681	1	400
310	1	119
97	1	26
82	1	211
412	1	13
893	1	778
249	1	5
786	1	462
78	1	10
949	1	312
802	1	55
535	1	220
896	1	736
125	1	55
810	1	917
50	1	9
1157	1	224
371	1	445
651	1	877
445	1	229
127	1	15
220	1	125
159	1	26
565	1	12
302	1	670
1193	1	784
111	1	109
150	1	83
40	1	243
660	1	181
27	1	75
835	1	302
771	1	15
404	1	129
772	1	118
275	1	47
238	1	173
105	1	106
393	1	99
660	1	1057
678	1	462
111	1	30
17	1	29
79	1	51
890	1	183
521	1	5
444	1	445
852	1	436
370	1	797
933	1	927
869	1	667
3	1	12
215	1	13
201	1	5
66	1	146
